gene	normal_1	normal_2	normal_3	normal_4	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7	tumor_8	tumor_9	tumor_10	tumor_11	tumor_12
gene2247	111	50	241	123	80	85	170	223	160	169	137	406	221	48	75	77
gene2248	1158	579	1714	1220	228	318	424	577	339	391	336	843	625	123	276	245
gene2249	119	47	258	121	73	94	87	210	146	153	124	226	189	47	100	102
gene2250	5437	2170	5722	3186	3296	4824	5341	9995	3910	7659	4363	9340	10704	2239	4035	4417
gene2251	236	70	357	162	118	193	307	357	185	260	161	250	328	64	201	173
gene2252	113	125	421	166	166	161	237	393	402	341	294	417	364	83	189	196
gene2253	274	147	631	282	62	96	121	189	132	159	86	154	148	36	97	87
gene2254	230	139	675	260	579	842	766	2069	711	902	881	1943	1740	310	726	635
gene2255	12	0	5	2	0	10	1	6	6	12	4	25	6	2	0	6
gene2256	59	42	90	72	11	7	11	27	22	6	9	24	19	8	6	8
gene2257	274	141	470	237	151	280	277	579	240	209	331	578	551	136	208	258
gene2258	65	62	148	143	93	130	170	255	168	230	115	257	220	69	105	160
gene2259	27	14	33	23	19	30	16	82	54	11	19	63	69	19	41	16
gene2260	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene2261	92	36	136	48	59	83	144	102	108	44	91	118	156	42	52	99
gene2262	76	21	116	42	47	52	80	152	70	122	60	128	112	31	69	105
gene2263	222	66	338	159	145	221	398	380	303	410	192	564	281	89	167	240
gene2264	101	15	169	50	34	47	61	151	63	136	19	122	174	16	32	77
gene2265	3	6	7	2	3	3	8	25	0	4	7	1	9	0	3	1
gene2266	13	3	44	29	15	18	29	42	19	35	45	58	66	4	12	19
gene2267	0	8	5	6	1	2	2	0	0	1	2	0	1	2	0	1
gene2268	124	61	214	99	28	50	121	124	66	116	92	149	97	42	36	25
gene2269	15	15	22	22	17	24	51	61	29	38	47	53	25	6	19	24
gene2270	4	1	11	0	0	5	13	26	9	8	2	26	8	1	11	10
gene2271	25	40	87	37	35	54	60	140	39	81	84	101	148	29	32	57
gene2272	8	4	19	28	7	4	21	43	30	22	13	71	43	1	9	7
gene2273	434	229	552	313	309	511	578	710	590	479	430	812	626	178	347	404
gene2274	94	23	187	76	43	44	50	118	60	66	47	96	142	23	44	53
gene2275	1	8	4	8	4	2	8	0	2	10	5	22	9	0	1	2
gene2276	1778	717	3071	1146	942	1745	2089	3806	1749	3016	1788	3254	3828	866	1290	1452
gene2277	11613	5336	16409	8063	7653	9471	15057	26490	16069	12434	12984	26539	20244	6102	8106	9966
gene2278	20	5	28	13	33	18	49	42	34	23	51	68	18	11	17	32
gene2279	100	46	176	91	98	85	146	166	99	133	140	212	122	28	55	79
gene2280	1516	1051	5929	1910	1356	2697	3388	5437	2794	4051	2494	5035	3627	844	3025	2043
gene2281	69	32	128	69	77	58	100	193	68	99	46	158	102	15	70	43
gene2282	38	5	22	22	33	23	37	85	32	21	39	36	90	23	23	9
gene2283	15	6	19	10	18	32	26	71	7	31	9	33	35	1	26	22
gene2284	620	312	978	579	588	761	777	1447	829	1040	742	1666	881	241	591	911
gene2285	65	28	131	74	44	49	76	118	122	97	121	211	74	47	94	63
gene2286	1	11	19	3	5	11	7	29	8	5	6	3	10	0	8	6
gene2287	35	5	87	44	17	24	32	70	26	37	35	43	15	14	21	14
gene2288	566	220	908	592	686	1038	1293	2061	1227	1478	1015	1595	1646	423	947	810
gene2289	593	245	1121	517	407	568	604	1550	564	629	559	1506	957	204	491	433
gene2290	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
gene2291	555	195	1109	435	333	549	534	1003	661	601	467	1228	920	216	378	484
gene2292	8	15	39	27	15	32	29	67	37	16	25	26	32	1	20	12
gene2293	38	17	31	15	13	17	27	38	46	63	19	34	30	8	28	24
gene2294	381	155	789	535	300	339	459	901	525	688	496	982	877	200	515	490
gene2295	12	9	13	5	21	19	6	51	24	49	16	24	73	5	45	15
gene2296	1	1	9	5	4	0	3	3	5	8	0	0	11	3	0	0
gene2297	20	2	33	27	9	20	17	31	27	23	35	116	65	3	43	18
gene2298	59	22	181	48	61	94	146	176	84	248	88	152	139	28	91	49
gene2299	13	12	30	12	15	28	28	35	17	45	4	26	40	4	4	8
gene2300	9	1	8	5	0	2	2	8	1	0	13	0	0	0	0	0
gene2301	100	46	141	66	116	68	147	136	125	134	89	230	160	28	40	39
gene2302	2	0	4	0	3	4	0	1	0	0	0	6	0	1	23	0
gene2303	13	11	64	13	36	56	83	78	89	114	41	122	61	31	76	84
gene2304	21	6	77	16	15	19	15	22	20	27	8	32	45	11	19	16
gene2305	942	650	2624	1123	1174	1612	1469	2201	2054	2016	1670	3425	2470	790	1458	1218
gene2306	2213	811	3073	1623	1456	1667	2425	3871	1971	2029	1668	2836	2776	830	1434	1365
gene2307	7	10	57	7	11	35	15	68	25	28	2	29	26	24	21	24
gene2308	871	405	1061	510	540	661	949	1865	1097	1093	918	1397	1129	373	633	533
gene2309	4	0	0	0	1	0	0	14	0	3	1	0	4	0	0	0
gene2310	5	0	0	0	1	0	0	6	1	1	0	0	0	0	0	0
gene2311	0	5	1	0	2	8	20	5	0	23	27	1	7	1	8	8
gene2312	78	38	248	93	115	61	220	277	145	245	127	390	394	51	115	96
gene2313	9	17	39	9	4	10	2	4	5	5	0	11	21	1	7	6
gene2314	7	4	9	26	3	6	13	24	18	14	12	11	7	4	10	1
gene2315	150	92	524	234	197	306	274	485	260	301	261	514	450	107	190	180
gene2316	2	5	21	7	35	21	26	59	120	67	27	201	92	31	42	46
gene2317	712	251	1117	531	498	731	711	1381	838	896	724	1415	1078	262	603	451
gene2318	98	31	221	83	93	67	132	168	123	132	135	211	207	38	83	50
gene2319	51	20	128	93	59	83	103	190	116	129	99	225	178	45	146	50
gene2320	12	12	29	10	1	4	7	6	3	14	6	8	6	0	4	5
gene2321	189	92	432	248	138	314	319	472	340	278	251	695	595	109	182	251
gene2322	4	3	15	8	1	2	4	13	18	8	10	15	18	3	8	5
gene2323	9	1	21	3	1	7	6	9	11	17	4	8	1	5	1	1
gene2324	69	41	94	94	76	93	134	233	107	102	150	199	159	56	134	112
gene2325	68	34	130	112	65	66	150	278	95	160	68	187	124	48	102	70
gene2326	1	0	0	2	8	8	3	18	1	8	3	1	9	0	3	2
gene2327	110	45	151	77	60	83	226	191	159	185	87	157	155	41	88	122
gene2328	5	3	4	0	1	0	2	1	0	5	1	2	5	1	0	2
gene2329	59	17	105	76	38	55	75	93	43	114	107	194	75	17	74	57
gene2330	1	0	1	4	2	1	0	0	0	12	4	16	6	2	3	8
gene2331	0	0	0	0	3	4	0	0	0	0	1	0	0	0	0	0
gene2332	259	231	731	422	327	366	467	760	560	370	478	661	739	153	330	342
gene2333	81	37	116	70	94	79	97	186	135	191	100	246	215	33	113	70
gene2334	13	4	33	23	12	22	22	17	19	13	20	44	12	9	30	19
gene2335	125	89	253	96	25	20	31	50	33	28	30	57	48	11	29	34
gene2336	1787	1026	4462	2042	2224	3166	3040	6115	2475	4537	2537	5847	5179	1167	2459	2279
gene2337	265	105	356	154	134	161	258	534	185	424	314	496	405	97	190	166
gene2338	538	243	995	346	131	155	212	379	201	229	171	395	308	85	128	134
gene2339	0	0	0	0	0	3	0	7	5	1	3	0	1	0	0	4
gene2340	8	2	13	2	0	2	14	5	8	0	2	5	0	0	1	4
gene2341	3	4	4	2	2	4	15	11	8	6	9	37	43	7	8	16
gene2342	7	7	4	11	21	14	12	11	13	12	4	32	34	4	6	5
gene2343	22	2	32	5	7	12	8	16	32	9	16	40	14	11	10	20
gene2344	151	43	223	142	146	150	175	230	157	187	143	298	278	83	142	99
gene2345	274	106	515	198	232	274	418	612	383	428	271	707	539	117	291	296
gene2346	6	2	21	4	2	4	2	3	1	2	2	5	3	1	2	2
gene2347	0	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0
gene2348	615	275	1070	567	3366	4957	5856	9327	4237	6208	3740	7275	9198	1165	3910	3885
gene2349	33	23	73	42	15	27	38	30	38	20	18	31	31	8	15	20
gene2350	219	94	431	229	257	175	379	565	251	414	231	571	574	67	251	156
gene2351	0	1	5	2	1	2	1	2	1	5	0	0	7	0	7	5
gene2352	319	111	565	211	178	259	355	672	184	501	316	551	673	103	269	301
gene2353	2871	1214	4682	2505	1810	2601	3228	4384	4372	4765	3210	6298	5253	1204	2945	2863
gene2354	83	55	264	126	97	194	211	363	178	268	118	360	273	100	155	128
gene2355	16	4	23	9	15	8	14	20	12	7	5	38	22	11	5	4
gene2356	5	0	0	0	0	1	1	4	4	0	2	33	7	1	18	0
gene2357	116	39	270	51	81	101	120	337	106	165	142	243	209	31	101	177
gene2358	11	8	32	15	4	22	11	11	10	23	15	47	13	6	3	9
gene2359	114	30	122	84	78	106	114	195	156	73	110	275	167	58	84	61
gene2360	4	6	11	19	3	8	14	31	10	47	2	39	18	1	5	18
gene2361	54	15	75	28	43	62	102	131	46	37	79	80	92	20	43	28
gene2362	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gene2363	84	32	131	81	41	63	64	149	65	136	61	198	124	25	39	62
gene2364	45	46	179	81	58	73	58	205	120	136	90	250	160	42	59	60
gene2365	34	27	190	61	55	52	115	64	163	147	76	66	100	26	80	66
gene2366	96	44	115	50	71	65	92	167	104	84	112	188	139	30	85	50
gene2367	82	37	250	42	96	93	217	237	172	198	127	291	205	55	166	135
gene2368	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	3
gene2369	2254	1040	4683	1786	1398	1854	3558	6111	2330	3047	2324	5879	4219	1023	2000	2107
gene2370	10	2	13	25	6	4	3	20	14	34	0	14	24	3	5	1
gene2371	236	101	584	260	260	356	452	466	392	498	362	656	714	169	394	363
gene2372	7	0	15	4	9	25	12	6	5	9	15	26	20	10	12	15
gene2373	36	2	42	32	11	23	22	23	18	8	29	47	40	2	9	12
gene2374	119	29	197	82	53	98	124	204	126	226	140	152	240	33	71	133
gene2375	281	154	619	369	314	413	424	827	442	572	281	945	575	173	321	443
gene2376	36	14	77	22	1	5	12	25	7	18	4	16	15	2	6	7
gene2377	79	15	108	43	22	56	66	112	57	56	93	175	155	17	56	29
gene2378	106	59	146	52	45	78	170	429	115	183	112	164	139	36	96	64
gene2379	28	9	46	18	31	41	66	58	25	59	56	35	78	5	38	43
gene2380	51	16	66	36	75	36	59	78	28	40	28	87	62	35	38	34
gene2381	51	23	109	36	32	62	64	148	107	77	88	120	106	22	49	42
gene2382	62	25	109	97	44	71	146	133	90	93	126	315	159	56	101	76
gene2383	180	103	501	170	153	234	355	402	341	518	152	507	422	105	214	218
gene2384	7	0	9	3	2	3	7	0	4	14	2	0	19	5	2	3
gene2385	35	10	31	27	36	72	45	46	32	16	65	114	104	18	16	22
gene2386	30	19	78	33	36	37	65	99	56	51	56	96	92	21	38	50
gene2387	28	14	30	19	10	14	25	46	42	31	18	59	44	3	16	22
gene2388	59	25	157	34	53	91	58	148	46	120	82	127	102	40	90	60
gene2389	267	174	341	263	205	305	353	837	350	437	261	615	634	73	291	264
gene2390	124	64	370	155	144	152	230	474	194	214	120	430	348	75	128	124
gene2391	317	86	434	177	132	201	188	422	220	314	224	706	272	112	221	171
gene2392	78	18	81	101	48	89	70	184	44	73	87	186	95	33	59	61
gene2393	0	0	4	0	2	3	0	2	1	1	1	3	3	0	1	6
gene2394	59	23	153	90	79	90	86	157	74	102	95	146	129	26	64	40
gene2395	1642	1247	3679	1530	1443	2298	3046	3540	2864	3399	2289	4077	4269	891	2438	1624
gene2396	16	3	41	52	20	19	7	48	21	21	19	42	26	7	17	21
gene2397	1352	539	2564	1556	940	1700	1727	3188	1555	1691	1877	3649	3317	697	1189	1162
gene2398	51	28	87	54	41	40	60	95	44	38	44	86	112	33	24	37
gene2399	841	350	1631	770	579	727	1071	2174	1022	1533	809	2312	1967	300	828	627
gene2400	1	0	0	0	8	0	0	0	1	0	0	0	4	0	0	0
gene2401	45	32	140	70	47	67	72	252	61	63	79	185	198	30	31	110
gene2402	6	5	13	5	11	18	14	55	14	28	16	36	36	6	19	14
gene2403	3	0	3	12	1	1	5	27	8	29	3	13	6	3	9	0
gene2404	718	287	990	481	418	843	878	2161	915	957	859	1590	1214	294	494	613
gene2405	20	26	46	30	27	42	37	92	27	46	28	111	72	10	25	15
gene2406	1574	881	2822	1079	874	1404	1903	3322	1808	1802	1424	3288	3254	809	1181	1268
gene2407	22	5	64	16	16	12	28	68	36	39	39	55	48	20	40	19
gene2408	2	1	9	6	2	12	7	17	15	14	41	18	8	2	8	9
gene2409	8	1	14	17	8	6	3	32	14	15	5	15	3	3	9	22
gene2410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene2411	10893	4527	23353	10013	6461	11240	17947	25016	12594	16081	13077	27523	30200	5141	14354	12708
gene2412	127	95	368	160	148	180	239	417	216	382	236	524	335	91	180	125
gene2413	237	143	487	234	183	209	343	470	310	348	226	541	603	129	244	198
gene2414	87	45	248	69	110	94	216	200	149	139	83	185	136	57	53	86
gene2415	1264	582	2232	1069	841	1311	1823	2711	1711	1605	1118	3589	2622	584	1102	1035
gene2416	119	52	260	87	149	84	127	260	132	197	133	232	225	50	71	84
gene2417	10	9	57	17	20	25	22	43	43	30	21	41	36	7	13	21
gene2418	2	0	0	4	9	1	0	0	2	27	7	5	33	0	0	15
gene2419	11	12	5	10	5	6	36	59	2	13	15	20	35	2	5	4
gene2420	108	62	147	113	136	152	164	412	233	460	155	382	327	56	149	102
gene2421	30	33	102	17	19	46	66	107	79	95	49	95	70	16	36	65
gene2422	645	280	1185	471	299	621	768	1131	670	737	580	1366	807	245	414	339
gene2423	67	59	177	79	66	82	111	172	128	218	82	165	148	56	87	127
gene2424	2	4	9	4	6	1	2	14	0	1	1	26	4	2	2	1
gene2425	56	16	54	33	18	69	34	96	33	117	52	118	57	16	33	33
gene2426	77	20	99	24	39	61	63	73	36	78	44	158	69	11	29	22
gene2427	421	229	808	334	213	432	470	1360	456	598	481	832	551	188	555	325
gene2428	167	44	216	70	68	100	90	344	127	203	124	231	296	63	141	48
gene2429	105	53	165	74	172	244	299	333	243	257	235	345	495	85	209	287
gene2430	33	4	51	8	25	23	26	61	34	33	34	72	43	9	39	12
gene2431	5	5	12	0	1	16	7	32	24	25	13	9	17	0	3	10
gene2432	13	2	9	7	13	8	12	42	0	33	25	1	19	7	7	5
gene2433	2948	1406	4110	2349	2227	3038	3279	5467	3607	5787	3192	5589	5543	1109	2643	2804
gene2434	57	10	79	63	31	49	31	154	65	40	60	96	88	22	52	43
gene2435	49	17	46	41	20	32	36	87	36	67	41	95	59	22	31	49
gene2436	553	294	1014	490	410	655	914	1752	785	670	822	1564	1511	255	493	605
gene2437	340	103	814	236	300	414	353	585	486	492	302	461	505	99	251	307
gene2438	238	106	305	191	254	214	305	309	311	283	252	513	490	85	224	156
gene2439	15	1	19	2	1	8	19	15	0	9	6	21	3	0	4	4
gene2440	295	194	647	242	210	400	516	1036	413	437	335	1034	739	188	435	300
gene2441	166	100	373	158	151	239	186	379	296	464	262	326	419	107	187	219
gene2442	1004	481	2085	1023	640	975	1456	2244	1119	1852	1547	2624	1972	467	1043	1025
gene2443	49	22	44	38	25	17	52	124	48	69	42	139	52	11	50	34
gene2444	9	1	11	3	3	3	3	4	7	2	1	18	18	1	1	3
gene2445	1486	689	3231	1306	1186	1995	2049	4488	1891	2678	1511	3395	3062	833	1901	1582
gene2446	185	83	345	135	123	184	177	218	236	250	134	195	348	81	153	148
gene2447	90	38	151	44	44	56	137	195	93	98	69	192	96	12	64	54
gene2448	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
gene2449	26	13	50	21	27	53	15	42	42	37	21	90	22	6	21	11
gene2450	0	0	0	1	0	1	2	0	0	9	0	0	0	0	0	0
gene2451	10	6	17	16	2	7	54	44	41	33	26	46	80	6	24	28
gene2452	9	7	49	42	14	24	30	40	72	52	29	53	92	7	28	22
gene2453	372	110	449	313	214	468	407	802	452	584	266	659	661	176	261	382
gene2454	79	56	77	45	47	85	112	148	101	87	69	154	101	29	34	54
gene2455	14	9	7	12	14	23	12	61	11	60	11	17	30	3	15	9
gene2456	272	117	488	175	218	161	315	612	317	316	367	732	620	133	275	269
gene2457	141	44	242	101	73	136	170	343	178	256	116	339	208	59	97	102
gene2458	2	0	7	4	3	11	8	17	14	17	22	17	2	3	5	6
gene2459	232	88	351	150	150	234	326	510	230	325	236	382	399	79	156	272
gene2460	1075	424	2105	1039	599	767	1325	2352	1016	1629	1010	1783	2228	521	1098	927
gene2461	171	49	267	163	93	171	253	256	302	322	182	386	244	96	185	195
gene2462	103	62	322	177	87	163	222	437	243	265	277	549	356	77	110	149
gene2463	132	80	152	126	70	123	122	330	108	185	122	360	182	36	114	96
gene2464	20	11	40	60	152	202	417	498	170	284	261	337	449	104	289	155
gene2465	351	130	734	402	281	588	673	895	589	844	446	1036	644	282	435	492
gene2466	36	22	43	39	10	24	45	66	47	61	43	51	43	18	40	22
gene2467	34	28	91	9	37	75	63	87	29	96	48	53	124	19	35	28
gene2468	4	5	22	19	3	4	9	16	1	0	5	23	10	5	7	7
gene2469	142	48	317	148	133	149	193	300	202	202	178	321	272	49	117	115
gene2470	80	26	126	46	17	17	23	17	24	42	30	61	37	9	19	34
gene2471	20	1	12	4	0	16	8	13	30	28	0	1	32	4	3	7
gene2472	90	44	131	45	69	85	96	162	104	161	90	225	186	28	76	84
gene2473	3	5	2	1	4	3	6	38	1	1	7	10	4	3	3	0
gene2474	32	5	28	1	12	20	29	31	16	40	36	16	53	8	4	18
gene2475	92	88	190	74	60	108	124	188	126	175	146	250	248	68	79	82
gene2476	17	11	4	7	3	8	13	11	8	4	6	7	16	0	8	4
gene2477	1	4	42	2	0	20	6	33	8	8	2	30	3	6	4	0
gene2478	348	184	904	344	266	396	621	1029	530	604	551	942	903	219	276	334
gene2479	52	59	102	89	39	117	99	182	155	135	81	313	242	20	149	105
gene2480	65	14	84	65	35	63	109	117	70	50	66	147	199	30	87	61
gene2481	83	18	188	67	35	54	67	129	89	75	43	163	85	40	42	31
gene2482	3	1	4	0	2	5	15	0	5	1	2	0	12	0	0	4
gene2483	80	48	151	70	43	95	133	205	101	90	87	155	191	20	78	63
gene2484	130	47	170	151	84	150	218	218	218	137	142	332	210	66	162	135
gene2485	2828	950	3637	2254	2460	3051	3331	5428	2650	3596	2609	6876	4814	1217	2760	1984
gene2486	56	34	112	99	19	48	42	82	58	90	43	120	85	16	62	33
gene2487	22	7	56	44	24	14	24	32	33	87	30	65	24	8	31	20
gene2488	137	35	148	97	74	122	242	216	85	177	196	287	249	60	102	116
gene2489	16	2	21	4	4	8	16	15	9	19	5	21	13	0	3	3
gene2490	17	6	43	17	28	17	35	38	35	49	18	43	45	9	22	19
gene2491	307	88	398	215	1115	2078	3029	3291	2097	4073	2139	4003	3170	683	1275	1544
gene2492	0	0	2	1	0	0	1	0	0	0	3	1	7	0	10	1
gene2493	0	4	4	1	5	6	6	2	4	0	3	4	4	1	2	14
gene2494	137	84	300	176	27	88	90	107	74	98	75	95	94	25	42	61
gene2495	14	8	30	5	7	11	9	15	10	16	11	13	15	13	14	5
gene2496	36	15	29	41	10	35	38	67	29	42	29	32	11	6	30	10
gene2497	46	10	43	12	24	57	143	125	69	92	65	184	89	50	32	72
gene2498	14	15	66	10	18	13	22	77	36	36	11	47	26	19	4	27
gene2499	3	5	22	5	1	19	4	10	10	6	9	33	3	5	1	1
gene2500	8	4	39	22	4	3	13	4	3	19	25	9	15	2	16	17
gene2501	76	13	203	74	78	74	139	181	118	108	82	173	166	29	140	50
gene2502	1	0	0	0	3	0	7	0	0	2	1	2	0	3	0	12
gene2503	0	1	9	1	0	3	0	3	0	13	1	3	14	6	6	3
gene2504	1529	730	3701	1728	1674	2503	2605	5339	2959	3732	1665	4848	3956	1091	2614	1938
gene2505	9	5	22	6	21	10	21	60	7	20	20	28	27	2	17	19
gene2506	6	0	5	6	0	18	3	0	3	12	5	1	15	5	6	1
gene2507	6	5	60	15	9	34	19	64	11	29	14	40	14	12	19	6
gene2508	4	5	13	10	4	4	8	32	6	11	7	18	14	8	4	12
gene2509	286	177	988	363	486	329	445	892	505	514	439	613	941	156	392	332
gene2510	2	0	2	4	0	0	0	7	1	6	7	33	20	0	9	19
gene2511	13	5	36	16	11	25	13	55	28	25	16	52	6	7	11	12
gene2512	57	27	167	89	270	694	705	783	515	896	478	696	573	192	372	638
gene2513	480	236	976	373	404	540	741	1016	528	823	632	969	705	205	328	462
gene2514	0	0	3	4	0	1	0	58	10	0	11	7	3	6	2	7
gene2515	21	11	36	18	10	10	29	68	27	20	70	67	88	11	24	13
gene2516	3430	1901	6725	3740	2367	3988	5435	7776	3677	5152	4433	7267	7901	1495	3749	2385
gene2517	35	16	28	32	22	20	49	75	48	65	41	82	56	10	25	42
gene2518	172	58	203	146	330	828	623	1297	523	1057	702	1127	745	227	411	476
gene2519	44	18	65	30	45	47	44	70	107	60	43	134	106	14	51	65
gene2520	28	12	36	12	21	29	23	99	31	33	17	31	76	10	19	14
gene2521	232	86	348	179	120	170	231	386	230	267	178	373	277	134	196	182
gene2522	3	1	19	2	0	8	4	19	3	13	21	13	2	1	2	0
gene2523	571	267	980	706	1186	1419	2444	2579	2452	1845	1063	2508	3131	451	1013	1539
gene2524	45	24	69	88	40	60	78	164	90	75	74	125	157	56	49	57
gene2525	515	231	1172	325	34	86	101	131	112	99	80	213	163	28	53	70
gene2526	62	25	105	30	17	42	67	96	52	46	39	65	122	15	37	66
gene2527	97	56	114	65	122	126	129	293	191	224	88	169	178	48	112	118
gene2528	44	19	120	41	25	77	76	112	90	39	81	129	71	17	41	63
gene2529	0	1	10	1	2	0	10	10	0	1	2	3	4	2	29	2
gene2530	8	7	18	4	7	11	17	30	10	17	22	40	20	9	7	16
gene2531	18	8	21	11	2	6	10	16	16	16	1	70	41	0	10	6
gene2532	1	4	51	4	7	28	3	8	3	15	1	11	4	0	5	7
gene2533	16	8	91	8	9	27	10	40	48	46	11	54	17	11	7	9
gene2534	2	5	19	3	10	22	13	18	24	17	32	20	4	1	4	15
gene2535	48	15	118	50	23	26	24	37	33	19	35	59	25	3	13	7
gene2536	77	32	140	108	10	10	16	28	16	18	18	21	22	7	10	15
gene2537	174	139	370	210	193	192	211	551	424	358	262	689	601	93	261	210
gene2538	16	10	36	19	2	2	10	20	2	8	10	11	7	1	6	19
gene2539	118	43	472	158	161	197	218	345	204	281	270	461	272	100	143	139
gene2540	76	25	95	58	9	15	11	38	21	27	16	24	35	5	16	19
gene2541	137	51	261	105	98	92	160	152	160	183	92	274	299	33	143	121
gene2542	169	39	323	115	96	134	238	279	87	158	121	237	176	69	118	152
gene2543	199	92	297	91	163	228	192	362	257	291	277	489	391	122	184	220
gene2544	22	14	32	34	23	51	42	29	31	68	54	83	81	31	24	36
gene2545	56	17	142	49	47	71	66	99	54	59	72	99	81	28	43	64
gene2546	74	61	117	68	86	165	121	278	91	174	82	249	134	40	66	64
gene2547	0	1	0	2	5	0	3	34	0	3	7	3	0	0	2	0
gene2548	109	30	138	61	64	129	150	197	109	204	124	162	246	64	75	71
gene2549	160	62	207	133	156	145	300	383	198	232	166	449	371	57	80	130
gene2550	189	68	269	70	111	130	111	243	150	163	163	317	321	43	138	133
gene2551	6	5	4	0	6	2	23	18	3	3	17	36	18	6	2	16
gene2552	75	32	243	118	71	99	129	226	85	113	73	164	214	38	82	92
gene2553	250	95	498	248	189	327	446	601	412	406	303	783	691	154	345	193
gene2554	107	42	268	140	97	225	246	312	191	182	113	282	324	69	162	118
gene2555	433	166	719	425	335	557	729	1044	571	421	298	756	713	181	445	452
gene2556	8	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0
gene2557	11	2	1	6	5	9	2	2	5	0	2	5	2	1	0	13
gene2558	0	1	11	2	1	0	2	0	1	4	13	3	0	0	1	0
gene2559	238	160	614	410	246	387	619	1097	384	610	368	981	827	185	430	437
gene2560	20	13	34	18	14	5	12	85	38	42	23	77	70	11	19	13
gene2561	2032	514	2238	888	1534	1649	2090	2875	1834	2066	1851	3524	4307	616	1252	1183
gene2562	26	15	68	32	31	45	29	136	39	92	32	57	77	17	16	70
gene2563	7	2	26	2	5	1	10	11	5	3	13	3	13	0	2	1
gene2564	0	0	2	0	0	0	0	1	0	9	0	0	0	0	0	0
gene2565	0	1	0	1	1	1	1	1	16	0	1	2	0	0	3	0
gene2566	33	6	88	26	47	68	64	107	29	53	29	72	85	6	27	23
gene2567	44	18	70	68	39	29	40	100	71	60	78	136	107	30	62	39
gene2568	84	18	64	58	59	61	75	121	98	91	52	142	75	31	48	58
gene2569	65	47	134	73	37	60	122	153	119	130	66	106	110	13	85	57
gene2570	106	70	247	115	117	106	164	177	219	128	144	257	218	55	154	105
gene2571	0	0	3	3	3	0	1	5	0	8	5	25	0	0	2	0
gene2572	4001	1521	7800	4156	3924	4487	8382	9087	5211	8694	4471	12997	8836	1995	4112	4699
gene2573	47	20	103	42	21	48	81	85	76	92	25	44	101	12	56	37
gene2574	83	33	210	39	82	119	125	135	119	186	61	185	160	33	81	67
gene2575	8	7	54	34	38	21	24	100	63	22	29	113	22	6	32	28
gene2576	1512	723	2474	1571	1463	2073	3082	3401	2448	3045	2612	4478	3848	861	2081	2276
gene2577	196	86	340	157	135	226	287	400	170	177	210	411	293	64	149	140
gene2578	0	4	5	1	0	1	5	3	5	1	3	5	2	1	0	9
gene2579	165	57	327	89	98	163	122	301	150	142	163	331	364	48	65	125
gene2580	225	90	383	143	152	190	224	576	294	377	243	394	504	56	171	130
gene2581	6	10	34	17	4	10	3	42	17	4	12	33	32	4	4	14
gene2582	35	9	87	22	33	62	29	97	38	22	38	97	106	35	35	30
gene2583	52	18	34	15	19	37	62	99	52	88	50	104	121	15	50	41
gene2584	9	13	59	52	19	24	37	55	62	23	28	75	51	7	19	37
gene2585	10	12	35	16	15	139	31	214	72	75	83	278	196	55	163	76
gene2586	19	5	4	5	2	2	13	41	5	5	12	26	5	5	20	4
gene2587	1	1	0	8	1	7	4	1	0	4	0	0	1	1	0	3
gene2588	26	10	34	21	14	68	42	60	49	38	21	22	75	7	36	50
gene2589	183	61	299	194	180	220	230	625	315	181	235	383	360	88	180	219
gene2590	28	23	105	30	34	55	53	206	70	64	57	99	119	25	41	25
gene2591	0	0	8	0	10	0	0	18	3	1	0	0	0	15	0	0
gene2592	98	44	233	111	73	125	121	238	151	196	140	327	304	57	132	96
gene2593	1435	711	3049	1712	526	535	863	1558	1261	1112	627	1592	1326	340	754	712
gene2594	1333	491	1842	1039	707	1070	1394	2281	1386	1573	1279	2445	2450	462	1148	671
gene2595	0	0	0	3	0	0	1	1	0	0	0	5	2	0	7	4
gene2596	3	2	14	8	2	4	2	16	2	3	3	5	10	2	7	2
gene2597	4	0	0	0	0	0	0	18	0	12	0	5	0	0	1	1
gene2598	55	35	114	54	42	114	64	129	133	59	76	188	148	25	49	56
gene2599	24	13	50	26	30	39	39	84	38	33	16	38	20	7	21	21
gene2600	124	47	237	98	90	183	153	284	156	283	187	430	337	45	74	114
gene2601	1202	612	2162	1147	718	1585	1909	3118	1924	2155	1808	2879	3365	807	1344	1092
gene2602	839	740	3368	1213	4934	6588	6625	11565	6789	10889	5413	14950	10659	3784	6344	6482
gene2603	391	187	830	208	245	399	480	880	406	523	385	870	574	163	412	312
gene2604	16	3	23	3	7	17	18	4	44	40	8	23	10	4	7	2
gene2605	63	50	77	52	21	59	79	101	56	83	37	149	109	32	56	92
gene2606	2	3	0	0	5	2	0	1	1	0	1	6	3	0	10	0
gene2607	5	6	22	15	15	15	27	49	28	17	15	68	16	15	19	10
gene2608	5	12	15	5	1	11	28	38	37	15	19	38	12	11	15	19
