gene	normal_1	normal_2	normal_3	normal_4	normal_5	normal_6	normal_7	normal_8	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7	tumor_8
gene1370	0	3	9	5	5	3	23	20	23	0	1	3	16	10	7	5
gene1371	79	101	18	46	12	104	23	71	49	33	13	24	124	33	18	57
gene1372	14	32	8	9	2	32	2	10	1	3	2	12	6	2	0	18
gene1373	3818	3384	1908	2762	1638	7383	2741	1852	2040	1185	1086	1830	8036	1205	1338	3548
gene1374	10	11	14	12	0	12	5	7	0	5	2	9	19	0	2	4
gene1375	14	26	10	14	7	26	12	2	15	4	0	3	31	5	0	18
gene1376	29	67	15	19	9	44	27	20	60	6	12	18	96	12	8	25
gene1377	72	98	18	62	27	119	32	19	48	50	17	33	132	66	40	132
gene1378	6	7	12	2	6	7	6	5	1	8	2	0	25	0	6	3
gene1379	83	93	28	52	14	67	36	32	31	20	22	28	127	25	12	51
gene1380	70	69	27	62	41	137	61	28	57	46	7	30	131	28	24	85
gene1381	0	4	2	7	8	70	9	0	5	1	5	3	64	5	0	16
gene1382	527	1029	281	398	233	1619	417	208	356	231	133	304	1149	172	161	591
gene1383	48	47	5	4	14	83	18	7	12	8	4	14	21	9	10	16
gene1384	27	19	1	3	1	27	11	1	29	6	6	12	15	5	4	23
gene1385	10	3	11	4	5	9	6	0	0	4	3	0	20	6	0	5
gene1386	57	29	13	19	24	76	5	39	27	8	13	24	92	10	5	8
gene1387	14	9	5	19	0	42	5	0	3	3	1	0	36	3	4	7
gene1388	5	4	21	16	11	32	8	6	12	3	8	2	36	4	6	24
gene1389	44	63	31	38	14	103	26	19	160	68	64	169	1366	141	90	190
gene1390	94	103	10	79	43	211	136	67	70	36	21	60	130	23	23	99
gene1391	168	154	59	159	64	392	118	74	100	61	29	60	281	59	41	316
gene1392	698	1195	375	688	284	1516	441	460	557	255	215	467	1468	299	268	491
gene1393	1751	1690	817	1489	906	2954	949	732	939	684	503	856	4039	479	637	1426
gene1394	73	68	22	86	62	111	66	39	104	13	23	48	202	28	20	104
gene1395	164	281	129	202	114	480	148	81	103	130	30	156	548	67	63	264
gene1396	190	198	86	175	92	333	97	70	24	24	13	15	99	18	6	46
gene1397	7	4	0	0	0	6	5	3	2	5	0	14	7	4	0	5
gene1398	196	262	81	211	109	499	132	109	804	828	429	966	3584	555	588	1340
gene1399	38	38	10	47	17	87	30	20	19	20	7	29	99	14	5	25
gene1400	2774	3338	1121	2645	865	4736	2206	1029	1637	1283	644	1699	4346	910	884	1846
gene1401	42	30	43	36	27	243	18	18	34	24	11	20	100	6	20	22
gene1402	1165	1210	445	1047	499	1513	489	335	608	330	238	539	2010	298	199	972
gene1403	6	40	4	18	18	40	14	5	13	13	0	9	93	6	4	17
gene1404	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene1405	761	1184	419	787	347	1659	488	380	567	430	242	366	1599	310	254	1072
gene1406	2798	4214	1614	3277	1436	6697	2490	1673	2130	1683	944	1945	6984	1298	1116	4657
gene1407	11	21	4	6	0	26	4	0	0	1	7	5	0	3	0	10
gene1408	3	0	2	0	5	0	1	4	3	2	1	0	0	0	0	2
gene1409	12	27	13	34	12	92	25	13	19	15	2	18	42	3	7	32
gene1410	5	11	8	4	2	33	29	8	4	1	1	15	48	1	7	2
gene1411	31616	32352	12820	22716	11885	61449	25557	14914	18380	8760	6604	13305	56278	7853	7793	27195
gene1412	139	225	71	96	37	252	61	52	70	48	29	67	187	32	34	150
gene1413	47	68	32	51	24	169	29	11	22	9	18	40	107	12	11	64
gene1414	2674	4541	1199	3293	1356	7615	2007	1334	1902	1289	930	1385	6904	1239	1153	4190
gene1415	22	72	11	41	14	81	23	45	21	10	4	21	63	13	27	47
gene1416	50	74	34	117	40	251	54	52	80	57	25	55	91	24	28	67
gene1417	256	275	90	181	115	439	133	137	145	76	56	93	415	72	56	255
gene1418	18	18	6	18	2	19	8	5	9	9	9	4	13	5	0	11
gene1419	78	72	37	55	20	61	20	53	52	20	27	23	149	19	29	71
gene1420	127	250	68	126	87	392	115	64	143	69	30	68	495	103	19	144
gene1421	112	215	50	134	39	340	124	38	106	51	27	62	302	44	39	102
gene1422	716	727	228	597	200	1201	568	336	442	266	106	222	1702	220	203	469
gene1423	272	372	109	222	108	677	144	127	103	61	30	50	254	47	56	140
gene1424	85	157	88	122	93	247	73	64	49	57	41	96	205	83	62	165
gene1425	19	14	6	12	4	29	0	5	10	1	3	4	9	7	12	11
gene1426	449	366	185	369	124	618	176	143	264	118	104	183	659	115	175	261
gene1427	925	1044	411	675	310	1188	376	281	441	259	224	303	1731	241	204	567
gene1428	59	46	40	70	39	140	44	25	42	21	19	36	78	25	22	22
gene1429	14	0	0	11	0	5	4	1	8	8	10	2	9	1	2	23
gene1430	39	64	31	129	24	117	41	29	35	38	14	18	73	41	14	39
gene1431	61	17	23	35	16	107	15	14	9	20	2	12	149	9	8	55
gene1432	331	244	136	189	82	752	139	137	117	88	52	119	593	79	61	278
gene1433	81	173	92	184	53	353	76	34	472	311	286	534	1852	287	243	983
gene1434	1	4	2	0	0	1	0	5	0	0	0	0	3	0	0	19
gene1435	12948	12463	5431	13076	4701	22262	8071	4948	6831	4133	2883	4030	22060	3180	3226	11941
gene1436	0	0	2	7	0	4	0	0	1	5	1	0	9	3	0	11
gene1437	63	180	57	164	34	108	53	30	59	35	23	36	122	35	30	97
gene1438	2017	2452	938	1939	815	3733	1238	983	1045	949	433	959	4265	701	672	1625
gene1439	5	0	4	0	0	8	15	4	1	2	11	12	1	7	4	70
gene1440	200	213	60	139	50	483	94	99	23	8	3	14	105	16	8	37
gene1441	583	594	342	360	190	1376	408	225	364	313	119	262	1072	194	126	422
gene1442	34	89	27	77	22	75	21	27	45	17	9	15	71	11	27	45
gene1443	1	1	0	0	2	17	0	6	0	0	2	3	0	0	0	0
gene1444	37	30	3	20	11	50	21	22	12	10	2	10	25	9	15	15
gene1445	787	989	339	839	377	1742	675	402	403	280	188	379	1674	324	286	890
gene1446	51	55	28	35	16	87	15	15	3	0	1	0	10	1	1	7
gene1447	33	31	24	67	20	54	25	9	23	22	7	36	97	3	6	77
gene1448	151	113	76	107	51	293	57	74	89	93	34	93	342	64	41	87
gene1449	531	620	247	678	293	1477	607	223	380	257	194	374	1645	301	214	378
gene1450	33	83	30	56	44	87	12	11	13	35	13	17	150	17	12	38
gene1451	1065	1733	605	1323	597	4005	822	702	747	688	269	543	2524	443	391	1172
gene1452	6	5	5	4	4	14	5	2	4	4	1	0	1	0	3	10
gene1453	121	132	44	117	62	289	86	81	91	98	46	75	241	62	39	152
gene1454	9262	17515	5509	14001	4724	31178	9326	6283	8032	5118	2524	5875	24867	4061	4671	13430
gene1455	106	156	66	134	30	166	90	52	55	20	19	32	140	18	20	33
gene1456	228	233	144	229	74	443	161	122	231	176	66	205	703	168	129	259
gene1457	106	116	57	77	24	204	35	40	87	41	33	60	102	21	15	99
gene1458	16389	15380	5571	12344	5648	27946	11672	6368	8195	4350	3086	8229	36713	5245	4201	17192
gene1459	47	22	17	25	9	108	11	13	7	9	10	32	91	9	2	29
gene1460	15	31	6	42	11	25	21	32	54	6	20	19	66	33	8	38
gene1461	33	15	13	37	7	48	13	2	20	3	3	20	56	9	6	32
gene1462	54	11	5	29	4	116	19	2	3	3	1	5	10	2	1	8
gene1463	187	147	61	203	94	627	105	40	530	256	203	321	1660	337	209	1142
gene1464	19036	22190	6334	18026	7745	41103	9394	8736	11080	9784	3567	11270	33124	8296	4659	18870
gene1465	619	979	322	721	285	1327	327	292	451	234	165	349	1719	147	210	867
gene1466	22	6	19	40	24	131	32	16	23	7	4	17	75	7	6	29
gene1467	171	129	58	149	49	259	88	42	98	59	39	37	121	29	39	84
gene1468	3	9	7	12	7	37	5	4	8	2	8	18	21	14	10	22
gene1469	151	204	59	141	19	328	70	40	104	44	39	78	360	35	46	88
gene1470	1176	1111	516	974	423	1803	848	437	564	370	208	414	2154	219	309	874
gene1471	11	23	9	44	6	41	11	11	8	9	5	2	26	0	7	23
gene1472	0	0	0	0	0	0	2	0	0	3	4	0	0	0	0	0
gene1473	48	88	38	44	20	131	38	16	54	29	11	23	165	12	12	76
gene1474	56	41	21	72	32	75	25	30	15	17	14	48	119	14	18	28
gene1475	41	71	19	43	36	165	83	37	23	29	15	39	130	15	6	49
gene1476	1119	1634	422	1364	469	2375	882	496	408	403	280	638	2092	396	372	1463
gene1477	485	540	220	536	293	955	271	260	404	250	150	276	1086	132	152	540
gene1478	52	95	14	49	25	123	32	13	92	29	57	43	290	30	36	46
gene1479	898	1482	528	1678	621	2049	803	393	579	406	304	381	2353	448	381	1278
gene1480	428	552	282	433	166	692	344	163	254	142	148	191	860	92	135	368
gene1481	13	21	18	17	8	78	17	5	19	4	23	1	96	14	4	13
gene1482	6899	7846	2698	7645	2609	11415	3568	2126	2927	2433	1597	3115	16580	1952	1643	6060
gene1483	211	114	78	209	53	331	111	79	118	61	36	104	255	46	51	129
gene1484	2	24	17	4	15	46	7	26	60	31	18	34	249	27	42	63
gene1485	52	56	10	23	14	67	32	9	28	26	7	10	31	11	14	60
gene1486	512	433	156	639	220	1391	251	208	301	213	96	220	1043	133	110	466
gene1487	8	4	0	1	0	7	0	1	4	1	2	3	8	1	12	0
gene1488	110	51	29	50	28	99	72	30	102	55	16	132	348	31	50	112
gene1489	7	23	4	10	0	42	9	1	14	13	4	5	24	0	2	12
gene1490	1098	1359	479	1498	617	2665	1101	726	3648	1678	1346	2382	10093	1480	1597	5493
gene1491	240	215	127	188	111	633	167	74	330	208	168	419	1535	170	139	573
gene1492	24121	32380	10278	18407	7894	52683	14726	14886	30544	16302	8022	24253	110346	18608	13972	38448
gene1493	88	101	27	97	37	107	68	63	81	22	25	38	214	34	15	167
gene1494	46	99	26	63	28	110	29	32	40	30	16	23	130	26	37	44
gene1495	1	18	0	0	3	0	1	0	0	2	0	7	0	0	0	1
gene1496	1	0	0	0	0	1	5	0	3	0	4	3	27	0	0	45
gene1497	129	228	48	191	49	268	107	58	58	99	21	79	368	55	39	129
gene1498	167	178	74	307	146	446	80	105	88	87	52	182	255	46	58	183
gene1499	416	651	133	249	142	788	325	176	192	92	84	137	905	111	101	194
gene1500	14	11	5	3	3	12	13	0	2	7	5	7	14	12	2	33
gene1501	24254	42314	16558	32080	12995	76478	25710	14757	17804	10755	7175	12289	48399	9811	9332	26234
gene1502	52	124	31	68	34	143	42	43	42	25	8	10	113	15	16	38
gene1503	435	405	226	383	203	672	259	189	244	153	75	287	732	122	173	350
gene1504	1	1	5	6	5	7	5	10	3	0	2	8	12	5	1	26
gene1505	41	33	9	32	11	45	25	29	49	18	7	27	76	8	16	42
gene1506	51	113	46	83	54	238	45	45	67	41	19	57	130	29	28	46
gene1507	1182	1649	615	1439	658	3296	885	458	685	753	299	600	2787	595	413	1221
gene1508	32	38	17	47	45	185	30	20	19	8	13	13	60	15	4	55
gene1509	3926	3424	1750	4867	2030	9877	2880	1320	2251	1864	775	2120	8599	1505	1330	3111
gene1510	1631	2731	958	1640	773	4002	1771	1178	1717	910	587	1143	4182	597	554	1625
gene1511	159	249	104	241	106	428	240	91	165	71	78	167	497	95	85	291
gene1512	1861	2285	992	2561	929	3993	1476	905	1107	798	443	960	3061	828	619	2225
gene1513	78	85	29	49	36	67	36	27	41	20	13	30	170	7	19	58
gene1514	19	55	12	28	22	16	35	25	3	4	6	6	36	8	9	6
gene1515	34	14	29	104	18	97	26	45	41	21	22	46	120	19	14	36
gene1516	33	40	16	55	17	56	24	28	26	18	4	42	120	14	12	64
gene1517	4280	4997	2378	4147	1977	10348	2891	2165	2602	1898	1192	3340	9761	2012	1260	5209
gene1518	36	8	16	31	18	76	23	1	9	2	7	7	17	7	18	5
gene1519	241	478	221	408	121	566	363	116	145	123	87	174	544	128	129	402
gene1520	144	187	86	222	91	547	159	82	145	78	64	104	411	31	64	191
gene1521	492	609	205	574	197	1563	359	262	398	190	159	247	900	302	160	414
gene1522	23	8	1	7	5	18	9	0	6	15	4	10	19	12	3	7
gene1523	9371	16977	5778	13188	5562	21781	6954	4754	5533	3676	2764	5642	24220	2990	3310	8770
gene1524	5231	6915	2975	5363	2775	11195	3239	1969	7610	5473	3043	5806	24133	3829	5023	13072
gene1525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1526	247	256	53	150	116	396	159	113	120	67	30	84	326	49	57	239
gene1527	2985	2713	1036	3313	1574	5803	1701	1281	681	551	276	666	3305	350	476	1669
gene1528	2111	3294	1104	2959	794	4951	1505	1248	1443	1179	556	1463	6147	870	636	1820
gene1529	211	311	90	251	104	360	155	85	93	65	73	101	563	56	65	230
gene1530	57	85	36	141	38	155	66	31	68	46	15	32	142	29	20	82
gene1531	89	128	46	98	48	203	67	47	74	105	50	76	364	62	39	168
gene1532	4	7	3	9	0	4	15	0	1	2	0	0	0	1	6	18
gene1533	13	6	6	3	1	26	6	3	3	5	5	14	5	2	4	5
gene1534	14	26	24	12	18	6	6	11	14	8	6	3	3	0	9	36
gene1535	2916	3362	1494	2541	1340	5745	1956	1491	1540	1278	634	1256	8180	1109	1009	3099
gene1536	409	330	198	239	157	664	205	129	134	91	66	188	560	131	108	184
gene1537	228	197	112	232	56	494	178	116	156	68	50	115	413	93	81	241
gene1538	23	45	21	10	41	127	13	19	17	29	10	34	91	27	13	84
gene1539	2	13	0	0	2	6	9	3	0	0	0	1	3	0	0	0
gene1540	49	78	36	33	15	203	72	28	41	22	19	41	285	22	14	97
gene1541	17	14	4	21	0	16	7	9	2	5	4	8	5	0	4	14
gene1542	9	7	7	14	0	12	7	10	52	6	12	38	96	26	12	18
gene1543	106	196	96	108	105	322	99	75	114	61	42	98	237	53	39	151
gene1544	24088	21063	6912	22299	6981	40107	14027	9563	2700	1240	780	2079	7348	1137	1221	3706
gene1545	17	10	1	11	7	8	13	10	10	1	5	6	52	5	3	25
gene1546	386	279	107	317	112	493	177	164	130	116	72	128	662	65	102	216
gene1547	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	9
gene1548	480	681	298	840	261	1569	662	211	555	372	121	320	1279	224	217	555
gene1549	201	331	115	196	107	524	198	99	95	113	66	137	411	72	60	196
gene1550	390	377	185	397	156	889	180	229	190	112	65	120	642	101	117	353
gene1551	1	0	1	0	0	0	0	2	1	4	0	0	81	0	2	0
gene1552	21	32	12	26	6	78	20	22	15	10	11	8	22	3	3	36
gene1553	8	5	1	3	2	3	8	0	42	7	10	6	84	9	20	97
gene1554	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0
gene1555	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4
gene1556	0	1	1	1	6	9	5	0	1	0	4	1	0	2	0	0
gene1557	1	0	0	5	0	2	13	0	0	1	0	0	2	0	0	0
gene1558	190	352	97	282	147	511	144	120	143	112	59	134	469	113	61	321
gene1559	326	406	99	335	150	470	241	122	109	167	76	130	826	147	105	341
gene1560	15	17	13	22	14	48	21	11	9	7	7	31	62	16	8	3
gene1561	29	8	7	36	7	56	22	7	10	1	9	4	15	5	5	5
gene1562	80	87	67	92	23	259	104	71	46	23	36	43	187	20	69	113
gene1563	1525	1633	655	1424	686	3121	1295	526	840	693	313	545	2178	462	376	1271
gene1564	25	32	27	15	32	76	29	32	41	29	13	19	37	13	13	48
gene1565	102	144	18	119	34	303	73	39	49	66	38	36	121	24	36	104
gene1566	330	460	162	523	141	552	241	116	266	210	98	241	503	160	117	352
gene1567	145	150	46	164	82	483	83	66	851	619	277	804	3335	495	830	1174
gene1568	72	125	53	109	33	205	79	42	43	44	21	36	177	33	48	57
gene1569	441	463	148	402	150	875	320	124	192	144	87	201	777	138	122	404
gene1570	0	5	0	0	0	32	0	2	0	0	2	4	12	0	0	1
gene1571	538	609	245	523	180	937	444	234	302	183	82	279	907	183	145	526
gene1572	153	138	26	124	21	169	62	67	28	36	22	64	199	23	25	59
gene1573	529	638	272	450	206	798	463	214	239	292	164	307	1013	210	106	496
gene1574	154	205	46	133	54	546	124	61	95	82	45	111	216	44	40	157
gene1575	196	323	123	159	103	585	132	87	140	75	45	161	506	69	75	227
gene1576	25	46	1	22	3	55	3	2	3	2	5	12	5	1	1	15
gene1577	567	521	205	472	268	1025	397	118	532	310	257	385	1760	356	360	852
gene1578	91	40	52	46	22	85	58	51	34	38	14	26	213	30	22	44
gene1579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1580	19	24	17	46	15	38	18	8	2	20	8	15	52	8	7	23
gene1581	1750	2153	561	1352	674	3295	1175	856	853	750	465	794	3815	581	401	1580
gene1582	17	11	10	12	9	10	3	4	1	1	0	0	0	0	1	2
gene1583	38	47	23	47	38	55	32	31	25	8	5	21	85	28	7	37
gene1584	1743	2529	796	1648	773	3103	1389	850	9683	5730	3806	7913	30330	4332	4134	12046
gene1585	9	13	1	1	2	65	6	5	0	6	2	1	8	0	5	3
gene1586	1	8	0	5	6	30	0	0	3	7	7	20	20	0	4	3
gene1587	0	2	0	4	0	23	0	0	1	6	0	13	29	1	0	10
gene1588	1415	1530	469	1469	517	2089	676	441	884	463	387	412	2370	483	366	1157
gene1589	97	104	51	144	36	131	70	37	70	54	17	48	191	43	26	139
gene1590	43	74	27	47	32	102	9	14	6	14	3	25	51	9	16	21
gene1591	7	25	9	29	10	139	39	3	24	7	3	4	40	11	6	15
gene1592	2195	2267	857	2866	1024	4565	1434	1098	1186	956	502	1053	4878	862	731	2365
gene1593	15	21	0	2	4	48	16	0	4	7	1	4	10	4	0	4
gene1594	755	1047	390	656	356	1989	615	426	704	287	213	408	1402	276	272	804
gene1595	55	67	20	72	40	72	40	15	23	24	15	25	124	16	44	76
gene1596	693	773	318	694	270	1125	459	164	332	207	145	230	1431	220	260	620
gene1597	64	97	22	52	31	77	53	27	36	9	4	7	84	13	9	65
gene1598	3	30	2	19	11	30	0	16	7	9	7	12	9	3	2	41
gene1599	716	635	254	439	248	1164	452	200	439	233	114	307	980	239	157	572
gene1600	5	15	6	30	4	41	12	9	3	3	3	3	12	2	0	7
gene1601	236	418	118	290	140	621	208	113	154	74	80	134	585	111	90	211
gene1602	5577	6073	2373	5497	2621	10667	3209	2438	3171	2237	1150	3223	11060	2360	1385	6262
gene1603	21	7	4	2	3	29	8	5	10	3	1	1	9	2	7	42
gene1604	6	39	6	15	7	37	15	4	11	11	7	7	20	3	4	29
gene1605	17	18	9	13	1	4	8	3	23	23	1	1	27	9	7	1
gene1606	5	21	7	4	2	38	13	6	31	3	3	36	44	7	3	21
gene1607	607	493	229	603	267	1414	308	352	332	210	150	461	1397	195	191	470
gene1608	4	3	0	1	8	7	7	1	0	1	4	0	7	2	1	20
gene1609	60	64	23	60	14	88	53	3	30	12	11	9	104	24	13	62
gene1610	0	2	0	0	0	7	3	0	1	0	0	7	0	2	1	1
gene1611	2	1	4	10	9	17	2	0	8	2	4	2	46	13	1	9
gene1612	112	210	83	210	56	294	146	43	81	50	55	68	327	45	66	182
gene1613	2522	3272	1003	2809	1120	4181	1883	1051	1516	1012	519	1232	5256	928	895	2047
gene1614	642	487	219	506	252	834	290	250	312	218	197	275	1427	137	205	507
gene1615	466	383	198	387	238	893	354	262	304	162	66	203	899	193	85	437
gene1616	144	285	50	147	78	371	141	104	86	107	20	151	288	40	31	194
gene1617	1493	2107	894	1721	705	3509	1550	750	1250	846	520	888	3705	533	688	1460
gene1618	133	159	65	124	78	305	95	51	79	70	31	102	495	71	32	91
gene1619	455	508	201	382	189	552	185	121	158	122	96	194	603	98	128	261
gene1620	507	540	247	518	181	919	352	190	348	160	121	262	1262	149	140	393
gene1621	529	695	180	485	250	1035	389	269	356	224	104	244	799	147	117	526
gene1622	0	10	2	17	7	29	1	5	2	3	7	3	21	5	0	5
gene1623	12	13	8	25	18	6	7	4	9	5	1	16	39	14	0	34
gene1624	26	65	33	34	21	64	14	21	36	19	10	27	105	10	14	20
gene1625	19917	20904	7338	15349	6658	26951	11829	5951	11120	5123	3886	9201	31193	6146	5784	18197
gene1626	11	32	6	36	12	65	38	11	46	17	3	2	69	6	9	15
gene1627	1	3	2	6	1	2	3	0	0	0	0	0	3	0	1	0
gene1628	41	42	13	52	29	85	28	17	46	23	12	15	19	10	17	52
gene1629	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1
gene1630	8	69	28	40	12	90	19	20	31	22	19	15	116	8	9	51
gene1631	339	381	193	295	116	694	188	136	55	34	33	91	238	37	29	99
gene1632	5064	5332	1962	4589	2125	8396	3302	2415	3896	2310	1293	3152	9881	1920	2005	4714
gene1633	702	847	348	767	325	1719	504	457	417	325	319	385	2040	188	286	744
gene1634	14	36	11	10	6	22	18	8	11	13	10	7	56	17	1	22
gene1635	112	173	58	106	82	218	59	43	72	100	36	43	241	14	41	96
gene1636	522	643	215	560	256	831	426	282	192	242	157	256	887	204	130	465
gene1637	2514	5319	1720	3029	1214	6540	2931	1376	2026	1289	881	1450	7734	1168	1098	2983
gene1638	67	18	29	58	8	108	19	11	25	28	7	9	100	13	18	62
gene1639	14	1	14	27	1	88	15	1	3	7	0	6	51	5	4	15
gene1640	1178	1518	423	945	431	2113	691	379	581	339	232	516	1524	285	205	863
gene1641	176	127	56	114	27	233	71	55	98	42	29	52	217	40	32	114
gene1642	1381	1981	1079	2454	777	3694	1244	1107	1382	984	527	1457	4847	696	553	1676
gene1643	0	0	5	11	0	0	4	0	0	0	7	0	7	4	0	0
gene1644	301	415	170	362	153	949	215	188	202	160	78	177	722	139	101	219
gene1645	67	87	16	132	14	100	57	15	40	17	15	26	87	30	3	30
gene1646	298	293	120	222	110	503	181	88	109	97	37	107	589	74	95	258
gene1647	103	86	42	42	33	157	45	14	52	53	22	28	187	33	12	66
gene1648	0	3	1	0	0	0	0	0	0	0	0	0	50	0	0	0
gene1649	1089	1066	382	889	428	1525	796	406	723	325	202	486	1988	356	273	986
gene1650	499	398	211	386	178	655	331	166	180	173	157	192	1004	86	122	382
gene1651	38	22	9	37	2	58	20	8	19	0	5	7	84	1	5	46
gene1652	10	10	0	14	1	13	1	5	1	7	5	12	37	3	8	27
gene1653	84	129	29	125	44	203	35	24	168	82	39	74	650	88	64	290
gene1654	270	291	86	213	75	330	191	96	153	56	45	74	351	68	75	174
gene1655	119	104	43	124	44	197	76	41	83	30	30	72	173	31	52	84
gene1656	344	544	185	454	227	711	292	191	250	159	103	213	917	127	102	344
gene1657	43	38	7	34	18	17	9	11	5	2	3	4	15	2	0	14
gene1658	22	20	11	26	7	14	6	1	12	5	6	10	47	7	5	7
gene1659	25	37	14	33	15	71	6	10	42	10	3	4	14	12	12	14
gene1660	0	10	4	16	8	20	3	3	0	2	1	2	4	1	2	1
gene1661	57	86	53	80	25	80	73	29	36	43	10	25	127	23	21	86
gene1662	433	369	236	308	111	840	420	209	289	166	147	271	646	110	103	335
gene1663	0	2	1	5	1	10	1	2	0	2	0	4	37	1	0	1
gene1664	0	0	10	0	4	12	0	1	0	6	0	2	6	1	0	2
gene1665	18	23	1	13	1	20	0	7	1	4	0	1	19	1	1	6
gene1666	351	365	227	382	217	825	291	231	223	246	86	212	798	142	114	351
gene1667	172	447	153	288	107	436	211	121	161	125	65	112	460	93	90	212
gene1668	1553	1652	518	1505	543	3102	971	516	649	677	303	603	3108	505	389	1189
gene1669	0	11	0	9	1	14	0	0	3	2	1	3	36	13	3	0
gene1670	44	28	21	21	19	60	6	9	14	22	6	14	42	15	7	18
gene1671	339	397	80	235	101	528	250	175	149	112	80	101	533	81	61	358
gene1672	921	1012	398	932	453	2327	694	406	640	449	279	563	2374	385	301	873
gene1673	63	41	28	69	24	108	67	52	46	16	18	24	239	41	18	86
gene1674	239	347	87	263	116	628	159	139	212	88	66	152	645	95	101	317
gene1675	112	166	45	146	81	238	117	54	67	29	25	71	325	34	38	103
gene1676	0	0	0	0	0	0	1	0	0	1	0	1	27	0	0	0
gene1677	12	13	3	23	3	94	8	2	22	8	9	5	36	3	3	14
gene1678	1008	1216	395	955	405	2183	867	532	650	574	259	433	1629	341	265	1306
gene1679	193	128	54	194	64	149	120	82	63	47	35	105	163	66	20	181
gene1680	2	0	2	0	0	0	1	0	0	0	0	0	4	0	2	1
gene1681	18	111	5	38	11	31	11	8	30	20	7	9	22	16	18	34
gene1682	6	38	3	4	12	23	5	15	6	10	5	2	24	3	1	28
gene1683	413	427	251	426	289	824	425	233	157	189	125	218	856	154	145	398
gene1684	1545	1435	499	1295	747	1870	1047	557	956	516	336	952	2828	338	320	1256
gene1685	7	1	0	3	2	0	1	9	6	0	0	1	16	0	1	6
gene1686	120	110	42	124	34	176	81	44	67	38	34	63	244	47	27	84
gene1687	54	119	24	34	20	79	30	16	18	36	11	12	58	38	10	74
gene1688	3078	2712	1111	2472	1239	5988	2021	1183	1655	717	672	1543	4228	860	937	3088
gene1689	7	11	2	15	4	24	15	4	14	0	13	10	61	4	1	38
gene1690	481	522	165	570	179	1113	257	240	283	210	176	195	946	216	160	495
gene1691	42	29	14	31	25	83	48	19	208	129	91	43	311	73	60	155
gene1692	0	23	11	11	0	23	15	5	6	8	4	4	12	2	5	9
gene1693	92	170	55	121	65	191	113	32	80	46	39	69	298	29	36	62
gene1694	187	173	83	234	68	204	85	75	91	75	51	118	309	53	38	193
gene1695	48	55	17	20	15	81	24	24	20	21	16	9	85	6	17	60
gene1696	85	23	26	99	26	168	40	27	42	29	18	49	121	26	19	54
gene1697	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0
gene1698	3	21	0	1	1	0	0	11	9	29	4	6	20	32	12	11
gene1699	98	67	11	68	34	129	26	16	69	30	17	31	121	7	16	21
gene1700	515	499	115	504	195	794	295	183	142	59	55	74	313	95	86	269
gene1701	6	11	9	7	8	21	8	10	11	22	6	4	51	6	10	9
gene1702	21	30	11	22	3	20	17	19	2	10	3	1	66	3	14	25
gene1703	25	18	9	6	1	24	3	3	20	2	5	11	100	6	4	30
gene1704	92	53	20	70	34	147	43	56	46	29	13	40	298	54	22	78
gene1705	71	70	15	65	41	261	69	44	24	25	8	41	236	35	24	118
gene1706	13	2	0	2	4	26	6	0	7	4	0	13	2	5	10	29
gene1707	2065	2548	744	2165	820	5000	1391	983	416	256	199	313	1565	245	236	617
gene1708	2	7	2	4	0	34	1	4	1	1	0	0	14	0	0	25
gene1709	854	1047	329	553	413	1585	600	417	401	319	169	357	1716	185	194	760
gene1710	50741	49255	18772	46820	18518	92225	31512	21489	24207	21483	11669	23123	94509	15465	13790	45416
gene1711	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene1712	311	255	63	240	94	496	154	86	122	205	33	130	388	96	69	204
gene1713	698	1020	294	764	214	1352	463	312	150	96	71	134	475	90	83	244
gene1714	229	348	120	257	74	694	110	101	468	191	226	380	1798	406	327	725
gene1715	82	244	77	116	42	156	101	27	28	58	31	57	182	23	51	116
gene1716	33	38	7	68	11	33	14	25	7	12	16	22	27	19	11	17
gene1717	18	24	4	43	1	6	0	5	3	0	4	9	21	5	1	14
gene1718	0	16	1	13	1	69	0	2	8	1	0	1	12	6	1	4
gene1719	20	5	0	9	7	55	3	3	20	1	2	4	8	2	1	2
gene1720	769	645	303	463	292	1319	425	294	353	287	107	334	1730	268	179	592
gene1721	465	559	235	473	179	666	331	244	1841	1439	908	1089	7505	941	988	2903
gene1722	328	341	153	411	135	998	271	145	216	167	68	147	571	108	122	173
gene1723	105	77	51	92	54	239	83	32	245	80	63	71	576	180	100	334
gene1724	2	13	2	0	11	15	4	2	38	10	5	32	0	25	12	39
gene1725	58	120	43	117	45	102	54	59	92	29	21	44	297	31	30	94
gene1726	51	27	8	4	15	0	48	10	3	1	4	4	6	2	2	7
